服务器,服务器地理位置,服务器端口,客户端,客户端地理位置,TCP/UDP,应用,协议,总字节数,每秒字节数,客户端字节数,服务器字节数,总数据包,每秒数据包数,比特率,客户端比特率,服务器比特率,客户端数据包数,服务器数据包数,会话开始时间,会话持续时间,TCP同步包,TCP同步确认包,客户端TCP重置包,服务器TCP重置包,三次握手次数,三次握手平均时间,客户端平均ACK时延,服务器平均ACK时延,三次握手平均客户端RTT,三次握手平均服务器RTT,客户端三次握手总时延,服务器三次握手总时延,TCP交易请求次数,TCP交易响应次数,服务器总响应时间,客户端请求平均传输时间,服务器响应平均传输时间,会话总数,活动会话数,客户端字节数（有效载荷）,客户端数据包数（有效载荷）,服务器字节数（有效载荷）,服务器数据包数（有效载荷）,客户端TCP重传包,服务器TCP重传包,客户端TCP结束包,服务器TCP结束包,TCP三次握手客户端确认包,TCP乱序包数,客户端TCP乱序包数,服务器TCP乱序包数,创建会话数,关闭会话数,每秒创建会话数,每秒关闭会话数,TCP重传包,每秒活动会话数,连接建立无响应次数,连接无响应率,TCP重置包
,局域网,37773,,美国,TCP,未知TCP应用,TCP,2102,0.0243,1126,976,22,0.0002,0.1946,0.1042,0.0903,12,10,2023/9/26 18:14,1.1401E+13,2,2,2,0,2,20.881266,7.314309,6.222734,15.052389,5.828877,30.104778,11.657754,4,4,130.907756,10.440633,10.440633,2,0,270,4,268,4,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2
,"中国,,,,114DNS",53,,局域网,UDP,DNS,DNS,2024,0.0234,2024,0,23,0.0002,0.1874,0.1874,0,23,0,2023/9/26 17:25,1.8381E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,0,,-,,-,-,-,-,-,-,-,-,-,0,23,0,0.0002,-,0,-,-,-
,局域网,37777,,美国,TCP,未知TCP应用,TCP,1964,0.0227,1126,838,20,0.0002,0.1818,0.1042,0.0775,12,8,2023/9/26 18:14,1.1416E+13,2,2,2,0,2,15.2232,14.905388,0.12278,15.014014,0.209186,30.028028,0.418371,4,4,32.866904,7.611599,7.611599,2,0,270,4,270,4,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2
,局域网,37772,,美国,TCP,未知TCP应用,TCP,1961,0.0226,1126,835,20,0.0002,0.1815,0.1042,0.0773,12,8,2023/9/26 18:14,1.1402E+13,2,2,2,0,2,17.757598,15.07005,1.946776,15.049728,2.70787,30.099456,5.41574,4,4,101.907746,8.878799,8.878799,2,0,270,4,267,4,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2
,局域网,67,,局域网,UDP,DHCP,DHCP,1895,0.0219,1895,0,5,0,0.1754,0.1754,0,5,0,2023/9/26 16:33,7.349E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,,-,,-,-,-,-,-,-,-,-,-,0,5,0,0,-,0,-,-,-
,局域网,37777,,局域网,TCP,未知TCP应用,TCP,1820,0.021,1820,0,26,0.0003,0.1685,0.1685,0,26,0,2023/9/26 16:13,1000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,局域网,37777,,局域网,TCP,未知TCP应用,TCP,1680,0.0194,1680,0,24,0.0002,0.1555,0.1555,0,24,0,2023/9/26 16:13,1000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,局域网,34818,,局域网,TCP,未知TCP应用,TCP,1540,0.0178,0,1540,22,0.0002,0.1425,0,0.1425,0,22,2023/9/26 16:13,5000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7076E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
,局域网,137,,局域网,UDP,NetBIOS,NBNS,1536,0.0177,1536,0,16,0.0001,0.1422,0.1422,0,16,0,2023/9/26 16:15,2.7076E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,,-,,-,-,-,-,-,-,-,-,-,0,16,0,0.0001,-,0,-,-,-
